filerange    10000 10711
rangestart    10000 10711
//	--LOCALE TABLE GENERATED BY TempCombiner.py--
//	--         SHIPS          --
/////    /===================================\
/////   /=====================================\
/////	|              HIIGARAN               |
/////	\=====================================/
/////	 \===================================/
/////	/==========================\
/////	|         UTILITY          |
/////	\==========================/
10000	<c=ff0000>Launch Evacuation Pod</c>
10450	<b>Armament</b>\n<c=ff1919>3 High-Speed Flechette Cannons\n2 Concussion Missile Launchers</c>\n\n<b>Type:</b>Corvette\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 70 s\nMaintenance: 14 RUs/year</c>\nStrong vs: Fighters, Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nStriker Chassis Technology\n9 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette/Frigate Squadron
/////	/==========================\
/////	|        FRIGATES          |
/////	\==========================/
10451	Assault Frigate
10452	<b>Armament</b>\n<c=ff1919>3 Flechette Turrets\nConcussion Missile Launcher</c>\n\n<c=9d9ddf>Cost: 750 RUs\nBuild Time: 45 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\n6 crew members</c>\n\n<b>Description:</b> Anti-Fighter/Corvette Frigate
10453	Harbinger Frigate
10454	<b>Armament</b>\n<c=ff1919>5 Flechette Turrets\nConcussion Missile Launcher</c>\n\n<c=9d9ddf>Cost: 850 RUs\nBuild Time: 50 s\nMaintenance: 14 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nMulti-Cannon Technology\n7 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette Frigate
10455	Heavy Missile Frigate
10456	<b>Armament</b>\n<c=ff1919>Fusion Missile Launcher\nHeavy Concussion Missile Launcher</c>\n\n<c=9d9ddf>Cost: 850 RUs\nBuild Time: 45 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nHeavy Missile Frigate Technology\n6 crew members</c>\n\n<b>Description:</b> Standard Anti-Frigate/Capital Ship Frigate
10457	Infiltration Frigate
10458	<b>Armament</b>\n<c=ff1919>Flechette Turret</c>\n<b>Upgrades</b>\n<c=ff7d55>Perforation Pods Launcher </c>\n\n<c=9d9ddf>Cost: 850 RUs\nBuild Time: 50 s\nMaintenance: 15 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nInfiltration Pod Technology\n7 crew members</c>\n\n<b>Description:</b> Combat Utility Frigate; capable of boarding and capturing hostile ships, Mining Bases, and Megaliths
10459	Support Frigate
10460	<b>Armament</b>\n<c=ff1919>6 Electro Magnetic Pulse Emitters</c>\n\n<b>Features</b>\n<c=ffbb19>Dock-External: (1) Frigate</c>\n\n<b>Effects</b>\n<c=af4141>Enemies within 4500 m\n-2% Drive\n-4% speed\n-8% accuracy\n-6% damage</c>\n\n<c=9d9ddf>Cost: 850 RUs\nBuild Time: 55 s\nMaintenance: 15 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nSupport Frigate Technology\n7 crew members</c>\n\n<b>Description:</b> Utility Frigate; capable of repairing allied frigates and disabling nearby enemy ships
10461	Plasma Frigate
10462	<b>Armament</b>\n<c=ff1919>6 Plasma Cannons</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 55 s\nMaintenance: 17 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nPlasma Frigate Technology\n8 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship
10463	Concussion Frigate
10464	<b>Armament</b>\n<c=ff1919>6 Concussion Cannons</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 55 s\nMaintenance: 17 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nConcussion Frigate Technology\n8 crew members</c>\n\n<b>Description:</b> Anti-Corvette/Frigate Ship
10465	Artillery Frigate
10466	<b>Armament</b>\n<c=ff1919>2 Pulse Blasters</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 55 s\nMaintenance: 17 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nArtillery Frigate Chassis Technology\n8 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Frigate
10467	Warfare Frigate
10468	<b>Armament</b>\n<c=ff1919>2 Light Plasma Lances\n2 Electro Magnetic Pulse Emitters</c>\n<b>Upgrades</b>\n<c=ff7d55>Fusion Missile Launcher</c>\n\n<c=9d9ddf>Cost: 1100 RUs\nBuild Time: 60 s\nMaintenance: 18 RUs/year</c>\nStrong vs: Frigates, Capital Ship \n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nWarfare Frigate Technology\n8 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship Frigate
10469	Heavy Cannon Frigate
10470	<b>Armament</b>\n<c=ff1919>2 Flechette Cannons\nHeavy Concussion Missile Launcher</c>\n<b>Upgrades</b>\n<c=ff7d55>Anti-Capital Ship Mortar Missile Launcher</c>\n\n<c=9d9ddf>Cost: 1300 RUs\nBuild Time: 70 s\nMaintenance: 20 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nHeavy Cannon Frigate Chassis Technology\n9 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Frigate
/////	/====================================\
/////	| CAPITAL SHIP & SUPER-CAPITAL SHIP  |
/////	\====================================/
10471	Destroyer
10472	<b>Armament</b>\n<c=ff1919>2 Flechette Cannons\n4 Hull Defense Guns</c>\n<b>Upgrades</b>\n<c=ff7d55>4 Anti-Capital Ship Fusion Missile Launchers\nAnti-Capital Ship Heavy Mine Launcher</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 165 s\nMaintenance: 55 RUs/year</c>\nStrong vs: Frigates, Capital Ship \n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nResearch Division\nDestroyer Chassis Technology\n1 officer\n15 crew members</c>\n\n<b>Description:</b> Anti-Frigate Capital Ship
10473	Heavy Destroyer
10474	<b>Armament</b>\n<c=ff1919>1 Double Flechette Cannon Turret\n2 Flechette Cannon Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>4 Anti-Capital Ship Fusion Missile Launchers\nAnti-Capital Ship Heavy Mine</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 175 s\nMaintenance: 75 RUs/year</c>\nStrong vs: Frigates, Capital Ship \n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nResearch Division\nHeavy Destroyer Chassis Technology\n1 officer\n15 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Vessel
10475	Guardian
10476	<b>Armament</b>\n<c=ff1919>4 Fast-Tracking Turrets\nMine Layer</c>\n\n<b>Features</b>\n<c=ffbb19>Integrated Defense Field</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 165 s\nMaintenance: 55 RUs/year</c>\nStrong vs: Missile, Bomb, Mine\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nResearch Division\nGuardian Chassis Technology\n12 crew members</c>\n\n<b>Description:</b> Advanced Anti-Missile Capital Ship; fires at any incoming missile/bomb or mine, deploy heavy mine fields, and can activate defense field to protect nearby ships from enemy fire
10477	Cruiser
10478	<b>Armament</b>\n<c=ff1919>1 Double Flechette Cannon Turret\n2 Flechette Cannon Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>12 Anti-Capital Ship Fusion Missile Launchers\n1 Advanced Anti-Capital Ship Heavy Fusion Missile Launcher</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 210 s\nMaintenance: 100 RUs/year</c>\nStrong vs: Frigates, Capital Ship \n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nResearch Division\nCruiser Chassis Technology\n2 officer\n20 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship
10479	Artillery Cruiser
10480	<b>Armament</b>\n<c=ff1919>5 Anti-Capital Ship Mortar Missile Launchers\n1 Special slot</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 210 s\nMaintenance: 100 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nResearch Division\nArtillery Cruiser Chassis Technology\n2 officer\n20 crew members</c>\n\n<b>Description:</b> Customizable Long-Range Anti-Frigate/Capital Ship Vessel
10481	Plasma Cruiser
10482	<b>Armament</b>\n<c=ff1919>2 Heavy Plasma Lance Turrets\n8 Flechette Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>8 Anti-Capital Ship Fusion Missile Launchers</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 210 s\nMaintenance: 100 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nResearch Division\nIon Cruiser Chassis Technology\n2 officer\n20 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship
10483	Carrier
10484	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>1 Production slot\n2 Module slots\n1 Special slot\n2 Resource Drop-Off points</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 1700 RUs\nBuild Time: 50 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\n2 officers\n30 crew members</c>\n\n<b>Description:</b> Standard Production Ship
10485	Battle Carrier
10486	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns\n2 Double Flechette Cannon Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>4 Anti-Capital Ship Fusion Missile Launchers</c>\n\n<b>Features</b>\n<c=ffbb19>1 Production slot\n2 Module slots\n3 Special slot</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 85 s\nMaintenance: 100 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Description:</b> Production Combat Ship
10487	Shipyard
10488	<b>Armament</b>\n<c=ff1919>12 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>4 Production slots\n6 Module slots\n1 Special slot\n2 Resource Drop-Off points</c>\n\n<b>Type:</b>Super-Capital Ship\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 95 s\nMaintenance: 150 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)\nShipyard Chassis Technology\nCommander Rank (80 Honor points)\n3 officers\n40 crew members</c>\n\n<b>Description:</b> Super-Capital Ship Production Ship; this ship is so massive it can only Hyperspace onto the field
10489	Battlecruiser
10490	<b>Armament</b>\n<c=ff1919>Trinity Blaster Cannon\n5 Hull Defense Guns\n4 Pulse Laser Guns</c>\n<b>Upgrades</b>\n<c=ff7d55>8 Anti-Capital Ship Fusion Missile Launchers</c>\n\n<b>Features</b>\n<c=ffbb19>2 Module slots\n4 Special slots</c>\n\n<b>Type:</b>Super-Capital Ship\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 280 s\nMaintenance: 125 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\nResearch Division\nBattlecruiser Chassis Technology\nCaptain Rank (150 Honor points)\n3 officers\n30 crew members</c>\n\n<b>Description:</b> Anti-Capital Ship Vessel; Capital Ship killer
10491	Battleship
10492	<b>Armament</b>\n<b>Upgrades</b>\n<c=ff7d55>Anti-Capital Ship Heavy Mine\n8 Anti-Capital Ship Fusion Missile Launchers\n8 Anti-Corvette/Frigate Fusion Missile Launchers</c>\n\n<b>Features</b>\n<c=ffbb19>11 Special slots</c>\n\n<b>Type:</b>Super-Capital Ship\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 360 s\nMaintenance: 150 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\nResearch Division\nBattleship Chassis Technology\nCommodore Rank (240 Honor points)\n3 officers\n35 crew members</c>\n\n<b>Description:</b> Heavy Anti-Frigate/Capital Ship Vessel; heavy assault ship
10493	Dreadnaught
10494	<b>Armament</b>\n<c=ff1919>Anti-Capital Ship Plasma Lance Array\n3 Double Flechette Cannon Turrets</c>\n\n<b>Type:</b>Super-Capital Ship\n\n<c=9d9ddf>Cost: 8000 RUs\nBuild Time: 460 s\nMaintenance: 175 RUs/year</c>\nStrong vs: Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\nResearch Division\nDreadnaught Chassis Technology\nCommodore Rank (240 Honor points)\n3 officers\n35 crew members</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Assault Vessel
10495	Command Fortress
10496	<b>Armament</b>\n<c=ff1919>8 Heavy Laser Cannon Turret</c>\n\n<b>Features</b>\n<c=ffbb19>15 Special slots\nIntegrated Hyperspace System</c>\n\n<b>Type:</b>Capital Ship\n\n<c=9d9ddf>Cost: 11000 RUs\nBuild Time: 700 s\nMaintenance: 250 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)\nCommand Fortress Superstructure Technology\nAdmiral Rank (350 Honor points)\n6 officers\n50 crew members</c>\n\n<b>Description:</b> Domain Control Station; helpful in controlling important regions of space, it carries advanced communication systems
/////	/==========================\
/////	|         PLATFORMS        |
/////	\==========================/
10497	Gun Platform
10498	<b>Armament</b>\n<c=ff1919>2 Long Range Flechette Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>Anti-Missile System</c>\n\n<b>Type:</b>Platform\n\n<c=9d9ddf>Cost: 400 RUs\nBuild Time: 30 s\nMaintenance: 2 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\n1 crew members</c>\n\n<b>Description:</b> Anti-Fighter/Corvette Weapon Platform
10499	Missile Platform
10500	<b>Armament</b>\n<c=ff1919>Long Range Fusion Missile Launcher</c>\n\n<b>Type:</b>Platform\n\n<c=9d9ddf>Cost: 400 RUs\nBuild Time: 30 s\nMaintenance: 4 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nResearch Division\nPlatform Missile Technology\n2 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Weapon Platform
10501	Hyperspace Gate Platform
10502	<c=9d9ddf>Cost: 750 RUs\nBuild Time: 30 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nResearch Division\nHyperspace Gate Generator Technology\n2 crew members</c>\n\n<b>Description:</b> Basic Hyperspace System; when linked with a second Hyperspace Gate allows allied Fighters, Corvettes, Frigates and smaller Capital Ships to jump between the two locations
/////	/==========================\
/////	|        UTILITY           |
/////	\==========================/
10503	Resource Collector
10504	<c=9d9ddf>Cost: 750 RUs\nBuild Time: 40 s\nMaintenance: 4 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>2 crew members</c>\n\n<b>Description:</b> Basic Resource Harvester; can harvest Resources and extract RUs from Mining Bases, when upgraded can repair damaged allied ships
10505	Mobile Refinery
10506	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>2 Resource Drop-Off points</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 50 s\nMaintenance: 8 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>4 crew members</c>\n\n<b>Description:</b> Resource Drop-Off; can dock 2 Resource Collectors at once, and can  provide very light defensive fire
10507	Advanced Mobile Refinery
10508	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns\n2 Flechette Cannons</c>\n\n<b>Features</b>\n<c=ffbb19>4 Resource Drop-Off points</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 75 s\nMaintenance: 12 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>8 crew members</c>\n\n<b>Description:</b> Advanced Resource Drop-Off; can dock 4 Resource Collectors at once and can provide light defensive fire
10509	Probe
10510	<c=9d9ddf>Cost: 150 RUs\nBuild Time: 5 s</c>\n\n<b>Description:</b> Disposable Recon Device; useful for scouting out unknown areas of space or keeping an eye on likely routes of attack. One-shot movement
10511	Proximity Sensor
10512	<c=9d9ddf>Cost: 250 RUs\nBuild Time: 15 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nProximity Sensor Technology</c>\n\n<b>Description:</b> Disposable Anti-Cloak Probe; best used in a grid formation to detect hostile cloaked ships. One-shot movement
10513	Sensor Distortion Probe
10514	<c=9d9ddf>Cost: 500 RUs\nBuild Time: 30 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nSensor Distortion Probe Technology</c>\n\n<b>Description:</b> Disposable Sensor Jamming Probe; useful for hiding ship movement or luring enemy recon groups into traps. One-shot movement
10515	Mining Barge
10516	<c=9d9ddf>Cost: 1250 RUs\nBuild Time: 65 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Mining Base</c>\n\n<b>Note:</b>\n<c=787878>Passive Tactics: no auto-launch</c>\n\n<b>Description:</b> RU Transport Barge; automated resource transport, ferries RUs from Mining Bases to the fleet
10517	Trade Convoy
10518	<c=9d9ddf>Cost: 1250 RUs\nBuild Time: 65 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>At least one allied player\n4 crew members</c>\n\n<b>Note:</b>\n<c=787878>Passive Tacticss: no auto-launch</c>\n\n<b>Description:</b> RU Trade Barge; allows large Production Capital Ships to trade RUs with allied players. The more RUs the fleet has in storage, the more it will gain from a trade network at any docking point. To work properly, allied players must be within a certain minimum distance. It is ideal for keeping available resource levels high
/////	[ERRATA]
10519	Flagship
10520	<b>Description:</b> Central Production; can't be built; so you shouldn't be reading this in-game.
/////	Empty to 10711
/////	MEGALITHS
10690	Foundry
10691	<can't build, so description-less>
rangeend 
