filerange	10831 11452
11083	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11084	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11085	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11086	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11087	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 5000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11088	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11089	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11090	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 8000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11091	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 9000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11092	Uses 1 Production slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +4\nSupply: +100</c>\n\n<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Previous magnet, magnets are constructed in chain</c>\n\n<b>Description:</b> Toroidal magnetic field; improves energy production (+4) and energy max storing capacity (+100) of the toroidal core
11093	Power Generator
11094	Uses 1 Special slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +3\nSupply: None</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Description:</b> On-board Power Generator; provides basic energy production (+3)
11095	Combat System Lvl. 1
11096	<b>Effects</b>\n<c=b26dff>Carrier Ship\n+5% Speed\n+5% Drive\n+10% Health\n+10% Weapon Damage\n+10% Weapon Aim</c>\n\n<b>Type:</b> Upgrade\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 20 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>100 Experience Points</c>\n\n<b>Description:</b> Improves the Combat System on the ship, improves ship navigation, attack and defense systems
11097	Combat System Lvl. 2
11098	<b>Effects</b>\n<c=b26dff>Carrier Ship\n+5% Speed\n+5% Drive\n+10% Health\n+10% Weapon Damage\n+10% Weapon Aim</c>\n\n<b>Type:</b> Upgrade\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 20 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>200 Experience Points\nPrevious Combat System</c>\n\n<b>Description:</b> Improves the Combat System on the ship, improves ship navigation, attack and defense systems
11099	Combat System Lvl. 3
11100	<b>Effects</b>\n<c=b26dff>Carrier Ship\n+5% Speed\n+5% Drive\n+10% Health\n+10% Weapon Damage\n+10% Weapon Aim</c>\n+50% Repair</c>\n\n<b>Type:</b> Upgrade\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 20 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>300 Experience Points\nPrevious Combat System</c>\n\n<b>Description:</b> Improves the Combat System on the ship, improves ship navigation, attack, defense and repair systems
11101	Combat System Lvl. 4
11102	<b>Effects</b>\n<c=b26dff>Carrier Ship\n+5% Speed\n+5% Drive\n+10% Health\n+10% Weapon Damage\n+10% Weapon Aim</c>\n+50% Repair</c>\n\n<b>Type:</b> Upgrade\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 20 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>400 Experience Points\nPrevious Combat System</c>\n\n<b>Description:</b> Improves the Combat System on the ship, improves ship navigation, attack, defense and repair systems, this combat system also enables the Ablative Shield
11103	Combat System Lvl. 5
11104	<b>Effects</b>\n<c=b26dff>Carrier Ship\n+5% Speed\n+5% Drive\n+10% Health\n+10% Weapon Damage\n+10% Weapon Aim</c>\n+50% Repair</c>\n\n<b>Type:</b> Upgrade\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 20 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>500 Experience Points\nPrevious Combat System</c>\n\n<b>Description:</b> Improves the Combat System on the ship, improves ship navigation, attack, defense and repair systems, this combat system also enables the Ablative Shield
11105	Basic Land Technologies
11106	<b>Effects</b>\n<c=b26dff>This planet\n+10% Population RUs Production</c>\n\n<b>Type:</b> Planet Technology\n\n<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 100 s</c>\n\n<b>Description:</b> Improves farm land drainage and irrigation systems, enhances population's RUs production
11107	Advanced Land Technologies
11108	<b>Effects</b>\n<c=b26dff>This planet\n+20% Population RUs Production</c>\n\n<b>Type:</b> Planet Technology\n\n<c=9d9ddf>Cost: 20000 RUs\nBuild Time: 200 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Basic Land Technologies</c>\n\n<b>Description:</b> Improves chemical applications and biological sciences, enhances population's RUs production
11109	Basic Industrial Technologies
11110	<b>Effects</b>\n<c=b26dff>This planet\n+30% Population RUs Production</c>\n\n<b>Type:</b> Planet Technology\n\n<c=9d9ddf>Cost: 30000 RUs\nBuild Time: 300 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Advanced Land Technologies</c>\n\n<b>Description:</b> Improves industrial applications based on manufacturing and raw materials, enhances population's RUs production
11111	Advanced Industrial Technologies
11112	<b>Effects</b>\n<c=b26dff>This planet\n+40% Population RUs Production</c>\n\n<b>Type:</b> Planet Technology\n\n<c=9d9ddf>Cost: 40000 RUs\nBuild Time: 400 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Basic Industrial Technologies</c>\n\n<b>Description:</b> Improves industrial applications based on automation and massive production, enhances population's RUs production
11113	Energy Revolution
11114	<b>Effects</b>\n<c=b26dff>This planet\n+50% Population RUs Production\nCost: 50000 RUs\nBuild Time: 500 s</c>\n\n<b>Type:</b> Planet Technology\n\n<c=9d9ddf>Cost: 50000 RUs\nBuild Time: 500 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Advanced Industrial Technologies</c>\n\n<b>Description:</b> Improves industrial energy production based on advanced energy engineering, enhances population's RUs production, enhances energy production
11115	Nano-Technology
11116	<b>Effects</b>\n<c=b26dff>This planet\n+60% Population RUs Production\nCost: 60000 RUs\nBuild Time: 600 s</c>\n\n<b>Type:</b> Planet Technology\n\n<c=9d9ddf>Cost: 60000 RUs\nBuild Time: 600 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Energy Evolution</c>\n\n<b>Description:</b> Improves industrial applications and energy production based on advanced nano-technology engineering, enhances population's RUs production, enhances energy production
11117	Armor (Top)
// 11118	
11119	Armor (Bridge)
// 11120	
11121	Armor (Engine)
// 11122	
11123	Armor (Plating)
// 11124	
11125	Armor (Bottom)
// 11126	

/////	--         VAYGR          --
11237	Engine Boost
11238	\n\n<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Engine final Boost, improves engine power (+300%) but uses 3 units of power
11239	Power Generator
11240	<b>Effects</b>\n<c=b26dff>Carrier Ship\nProduction: +3\nSupply: None</c>\n\n<b>Type:</b> Special (takes 1 special slot)\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 25 s\nMaintenance: 100 RUs/year</c>\n\n<b>Description:</b> On-board Power Generator; provides basic energy production
11241	Mortar Missile Battery
11242	Uses 1 Special slot\n\n<c=ff1919>Damage: 6000 x 5\nRoF: 22 s\nRange: 12500 m</c>\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 300 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Long-Range Anti-Capital Ship weapon
11243	Foreward Plasma Lance System
11244	Uses 1 Special slot\n\n<c=ff1919>Damage: 14000\nRoF: 14 s\nRange: 9000 m</c>\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 300 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Long-Range Anti-Capital Ship weapon
11245	Pulse Laser Turret
11246	Uses 1 Special slot\n\n<c=ff1919>Damage: 3000 x 2\nRoF: 9 s\nRange: 9000 m</c>\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 300 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Long-Range Anti-Frigate/Capital Ship Turret
11247	Heavy Plasma Lance Array
11248	Uses 1 Special slot\n\n<c=ff1919>Damage: 35000\nRoF: 24 s\nRange: 20000 m</c>\n\n<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 50 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nFire Control Tower (on board)</c>\n\n<b>Description:</b> Long-Range Anti-Capital Ship weapon
11249	Clear Orders
11250	<b>Type:</b> Order (Instant)\n\n<b>Description:</b> Clear all sustained orders.
11251	Instant Parade
11252	<b>Type:</b> Order (Instant)\n\n<b>Description:</b> All units within a limited radius (7 km) will immediately assume parade formation around this ship.
11253	Guard
11254	<b>Type:</b> Order (sustained)\n\n<b>Description:</b> When this order is given, all units within a limited radius (7 km) around the ship at the time will immediately be set to guarding this ship.
11255	Disable Trading
11256	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> While this order is active, all trade convoys will cease trading with allied players.
11257	Fighter Facility
11258	Uses 1 production slot\n\n<c=9d9ddf>Cost: 450 RUs\nBuild Time: 45 s\nMaintenance: 20 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Assault Craft</c>\n<c=149ca4>Research: Fighter Chassis (all)</c>\n\n<b>Description:</b> Enables production of Fighter-class vessels aboard this ship
11259	Corvette Facility
11260	Uses 1 production slot\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 60 s\nMaintenance: 20 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Missile Corvette</c>\n<c=149ca4>Research:  Corvette Chassis (all)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nCorvette Engine Technology</c>\n\n<b>Description:</b> Enables production of corvette-class vessels on this ship
11261	Frigate Facility
11262	Uses 1 production slot\n\n<c=9d9ddf>Cost: 1300 RUs\nBuild Time: 65 s\nMaintenance: 20 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Frigate Chassis (all)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nFrigate Engine Technology</c>\n\n<b>Description:</b> Enables production of frigate-class vessels on this ship
11263	Platform Control Module
11264	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 625 RUs\nBuild Time: 70 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Gun Platform</c>\n<c=149ca4>Research: Missile Platform, Hyperspace Gate Platform</c>\n\n<b>Description:</b> Houses standard platform telemetry transmission equipment and control systems, required to build weapon platforms
11265	Capital Ship Facility
11266	Uses 1 production slot\n\n<c=9d9ddf>Cost: 2800 RUs\nBuild Time: 90 s\nMaintenance: 90 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Carrier</c>\n<c=149ca4>Research: Capital Ships & Super-Capital Ships</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nCapital Ship Engine Technology</c>\n\n<b>Description:</b> Enables production of capital-class vessels on this ship
11267	Super-Capital Ship Facility
11268	Uses 1 production slot\n\n<c=9d9ddf>Cost: 2800 RUs\nBuild Time: 90 s\nMaintenance: 90 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Carrier</c>\n<c=149ca4>Research: Capital Ships & Super-Capital Ships</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nCapital Ship Engine Technology</c>\n\n<b>Description:</b> Enables production of capital & super-capital class vessels on this ship
11269	Research Division
11270	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 150 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Defense Control Tower, Fire Control Tower, Repair System, </c>\n<c=149ca4>Research: Corvette, Frigate & Capital Ship Engine Technology</c>\n\n<b>Description:</b> Research & Development module, enables research to unlock new ships, upgrades and abilities
11271	Cloak Generator
11272	Uses 1 Module slot\nRadius: 2000 m\n\n<c=9d9ddf>Cost: 750 RUs\nBuild Time: 160 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Cloak Upgrades</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Sensor disruption device, cloaks nearby ships from enemy sensors when activated, low energy usage when operating, but requires a minimum amount of energy (10% of total) to activate
11273	Gravity Well Generator
11274	Uses 1 Module slot\nRadius: 12000 m\n\n<c=9d9ddf>Cost: 2200 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Hyperspace inhibitor, prevents enemy ships from entering or exiting hyperspace within a limited Radius around the carrier ship
11275	Fire Control Tower
11276	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Allies within 4500 m radius\n+15% Weapon Damage\n+15% Weapon Aim</c>\n<c=b26dff>Carrier Ship\n+20% Weapon Damage\n+20% Weapon Aim</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 75 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Special Weapons</c>\n<c=149ca4>Research: Damage: and Accuracy Upgrades (All Classes), Improved Weapon Systems</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Improves targeting systems and improves efficiency of power systems, enhances offensive abilities
11277	Hyperspace Module
11278	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Carrier & Alies within 3500 m\nEnables frigates, capital ships and super-capital ships to jump through hyperspace</c>\n\n<c=9d9ddf>Cost: 1600 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Shipyard</c>\n<c=149ca4>Research: Hyperspace Upgrades (Cost, Damage: & Time)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nHyperspace Gate Technology</c>\n\n<b>Description:</b> Hyperspace drive and wake generator, allows nearby Frigates and Capital Ship to hyperspace, unlocks hyperspace upgrades
11279	Advanced Sensor Array
11280	Only 1 enhanced sensor system per ship\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\n+100% Sensors Range</c>\n\n<c=9d9ddf>Cost: 250 RUs\nBuild Time: 35 s\nMaintenance: 5 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Sensor upgrades</c>\n\n<b>Description:</b> Improves basic sensors
11281	Hyperspace Sensors
11282	Only 1 enhanced sensor system per ship\n\n<c=9d9ddf>Cost: 250 RUs\nBuild Time: 35 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module</c>\n\n<b>Description:</b> Detects all hyperspace signatures within a radius around the carrier ship
11283	Manufacturing Controller
11284	<b>Effects</b>\n<c=b26dff>Carrier Ship\n+40% Manufacturing</c>\n\n<b>Type:</b> Module (takes 1 module slot\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Production Upgrades (Capital Ship)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Contains improved control equipment for the ship's phased dissambler array, improving the ship's production speed
11285	Anti-Cloaking Sensors
11286	Only 1 enhanced sensor system per ship\n\n<c=9d9ddf>Cost: 250 RUs\nBuild Time: 35 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Cloak Generator</c>\n\n<b>Description:</b> Improves deteection ability against cloaked ships
11287	Heavy Cannon Turrets
11288	Uses 1 Special slot\n\n<c=ff1919>Damage: 11000 x 4\nRoF: 10 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 1900 RUs\nBuild Time: 85 s\nMaintenance: 60 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship weapon.
11289	Laser Cannon Turret
11290	Uses 1 Special slot\n\n<c=ff1919>Damage: 550 x 2\nRoF: 2.5 s\nRange: 4000 m</c>\n\n<c=9d9ddf>Cost: 600 RUs\nBuild Time: 30 s\nMaintenance: 10 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship weapon.
11291	Flechette Cannon Turret
11292	Uses 1 Special slot\n\n<c=ff1919>Damage: 625 x 2\nRoF: 4.5 s\nRange: 6000 m</c>\n\n<c=9d9ddf>Cost: 700 RUs\nBuild Time: 35 s\nMaintenance: 15 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Advanced Anti-Frigate weapon
11293	Double Flechette Cannon Turret
11294	Uses 1 Special slot\n\n<c=ff1919>Damage: 625 x 4\nRoF: 4.5 s\nRange: 6000 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 45 s\nMaintenance: 20 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Advanced Anti-Frigate weapon
11295	Double Flechette Cannons (SET)
11296	<b>Description:</b> Advanced Anti-Frigate weapon; composed of:\n4 Anti-Frigate Double Flechette Cannon Turrets\n2 Anti-Fighter Long-Range Suppressor Fire Turrets\n\n<b>Type:</b> Weapon (takes 6 special slots)\n<c=ff1919>Damage: 625 x 16\nRoF: 4.5 s\nRange: 6000 m</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 120 s\nMaintenance: 80 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nFire Control Tower (on board)</c>
11297	Perforation Pod Controller
11298	<c=9d9ddf>Cost: 3000 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Fire Control Tower\n3000 RUs (Stored)</c>\n\n<b>Description:</b> Pod-based Anti-Capital Ship weapon, enables the Flagship to launch Perforation Pods as a Special Attack (default key: Z)
11299	Defense Facility
11300	Uses 1 Module slot\n\n<b>Effects</b>\n<c=af4141>Enemies within 7000 m radius\n-8% Drive\n-18% Speed\n-8% Weapon Damage\n-18% Weapon Aim</c>\n<c=41af41>Allies within 8000 m radius\n+200% Auto-Repair rate</c>\n<c=b26dff>Carrier Ship\n+18% Health\n+150% Repair Dock rate</c>\n\n<c=9d9ddf>Cost: 5000 RUs\nBuild Time: 250 s\nMaintenance: 150 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Double Flechette Cannon (SET), Pulse Laser Cannon (SET), Perforation Pod Launcher (SET), Concussion Cannon (SET)</c>\n\n<b>Description:</b> Defense and systems improver
11301	Communications Facility
11302	Uses 1 Module slot\n\n<b>Features</b>\n<c=ffbb19>Sensor Ping\nHyperspace (5000 m)\nSensor Distortion (6000 m)</c>\n\n<b>Effects</c>\n<c=b26dff>Carrier Ship\n+100% Sensor range\n+300% Anti-Cloaking Sensor Range\n+300% Visual range</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 90 s\nMaintenance: 100 RUs/year</c>\n\n<b>Description:</b> System improver and enables several abilities
11303	Double Flechette Cannon (SET)
11304	Uses 8 Special slots\n\n<b>Armament Set</b>\n<c=ff1919>8 Anti-Frigate Double Flechette Cannon Turrets</c>\n\n<c=ff1919>Damage: 625 x 32\nRoF: 4.5 s\nRange: 6000 m</c>\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 300 s\nMaintenance: 120 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nDefense Facility (on board)</c>\n\n<b>Description:</b> Advanced Anti-Frigate weapon set
11305	Pulse Laser Cannon (SET)
11306	Uses 6 Special slots\n\n<b>Armament Set</b>\n<c=ff1919>6 Anti-Frigate/Capital Ship Cannon Turrets</c>\n\n<c=ff1919>Damage: 6000 x 12\nRoF: 12 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 350 s\nMaintenance: 90 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nDefense Facility (on board)</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship weapon set
11307	Perforation Pod Launcher (SET)
11308	Uses 6 Special slots\n\n<b>Armament Set</b>\n<c=ff1919>6 Anti-Capital Ship Pod Launcher</c>\n\n<c=ff1919>Damage: 6000 x 6\nRoF: 7 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 8000 RUs\nBuild Time: 400 s\nMaintenance: 120 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nDefense Facility (on board)</c>\n\n<b>Description:</b> Pod-based Anti-Capital Ship weapon set
11309	Concussion Cannon
11310	Uses 1 Special slot\n\n<b>Armament Set</b>\n<c=ff1919>4 Anti-Corvette/Frigate Micro-Bomb Cannons</c>\n\n<c=ff1919>Damage: 500 x 4\nRoF: 9 s\nRange: 6200 m</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 100 s\nMaintenance: 30 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Anti-Corvette/Frigate weapon
11311	Concussion Cannon (SET)
11312	Uses 3 special slot\n\n<b>Armament Set</b>\n<c=ff1919>3 Anti-Corvette/Frigate Concussion Cannon Turrets</c>\n\n<c=ff1919>Damage: 5000 x 12\nRoF: 9 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 9000 RUs\nBuild Time: 375 s\nMaintenance: 150 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nDefense Facility (on board)</c>\n\n<b>Description:</b> Anti-Corvette/Frigate weapon set
11313	Perforation Pod Launcher
11314	Uses 1 Special slot\n<c=ff1919>Damage: 6000\nRoF: 7 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 1400 RUs\nBuild Time: 90 s\nMaintenance: 20 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Pod-based Anti-Capital Ship weapon
11315	Harvest Control Module
11316	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Allies within radius\n+15% Harvest\n+15% Load Capacity\n+15% Drop Off rate</c>\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Collector Upgrades (Harvest, Offload & Storage Upgrades)</c>\n\n<b>Description:</b> Improves harvesting operations within a limited radius around the carrier ship
11317	Drive System
11318	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Allies within 5250 m radius\n+3% Drive\n+10% Speed</c>\n<c=b26dff>Carrier Ship\n+9% Drive\n+30% Speed</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 50 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Speed (All Classes) & Drive (Capital Ship-class) Upgrades</c>\n\n<b>Description:</b> Provides additional power to the for engines and thrusters, improving mobility of carrier ship and friendly units within a limited radius around the carrier ship
11319	Defense Control Tower
11320	Uses 1 Module slot\n\n<b>Effect</b>\n<c=b26dff>Carrier Ship\n+19% Health</c>\n\n<c=9d9ddf>Cost: 1400 RUs\nBuild Time: 70 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Health Upgrades (All Classes)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Improves armour of carrier ship
11321	Uses 1 Module slot\n\n<b>Effect</b>\n<c=b26dff>Carrier Ship\n+19% Health</c>\n\n<c=9d9ddf>Cost: 1400 RUs\nBuild Time: 70 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Roller Mine</c>\n<c=149ca4>Research: Health Upgrades (All Classes)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Improves armour of carrier ship
11322	Repair System
